Name	Consensus length	Total read count	Single reads	Reads in pairs	Average coverage	Reference sequence	Reference length	Reference common name	Reference latin name
seed-15392	1719	81	63	18	3.217	seed-15392	3486		
seed-15420	1965	81	29	52	5.387	seed-15420	2143		
seed-15465	3836	750	486	264	26.917	seed-15465	3962		
seed-15515	2467	219	113	106	11.856	seed-15515	2623		
seed-15547	2781	155	107	48	4.481	seed-15547	4634		
seed-16032	4418	142	102	40	2.25	seed-16032	8479		
seed-16157	3066	166	88	78	7.602	seed-16157	3197		
seed-16221	7677	199	129	70	2.47	seed-16221	11289		
seed-16229	2799	168	28	140	8.559	seed-16229	2924		
seed-16343	10089	187	89	98	1.485	seed-16343	17605		
seed-16513	2198	125	51	74	8.073	seed-16513	2225		
seed-16623	3356	157	53	104	6.566	seed-16623	3478		
seed-16737	11102	1448	158	1290	19.416	seed-16737	11102		
seed-16840	1120	26	20	6	1.286	seed-16840	2623		
seed-16968	6369	630	344	286	13.515	seed-16968	6575		
seed-17099	2492	66	32	34	1.381	seed-17099	6790		
seed-17150	6316	244	42	202	5.543	seed-17150	6481		
seed-17221	7331	886	118	768	17.904	seed-17221	7333		
seed-17365	3475	102	30	72	3.985	seed-17365	3732		
seed-17453	7396	1108	538	570	21.381	seed-17453	7388		
seed-17466	2463	98	24	74	5.806	seed-17466	2496		
seed-17469	6542	289	105	184	6.028	seed-17469	6867		
seed-17670	1450	47	29	18	1.963	seed-17670	3207		
seed-17944	5334	265	153	112	4.033	seed-17944	9245		
seed-18135	11959	350	208	142	2.017	seed-18135	24252		
seed-18320	3164	108	14	94	5.064	seed-18320	3168		
seed-18339	8694	411	183	228	6.365	seed-18339	9333		
seed-18523	10664	333	83	250	4.561	seed-18523	10712		
seed-18550	5553	290	148	142	5.14	seed-18550	8029		
seed-18677	2490	287	47	240	17.008	seed-18677	2490		
seed-18813	6885	471	361	110	5.746	seed-18813	10947		
seed-18911	9937	1224	98	1126	18.45	seed-18911	9937		
seed-19080	7185	1097	499	598	15.491	seed-19080	10060		
seed-19136	2333	509	175	334	31.706	seed-19136	2334		
seed-19233	10679	838	610	228	6.417	seed-19233	18597		
seed-19255	3132	98	62	36	2.7	seed-19255	5180		
seed-19261	3787	170	64	106	6.04	seed-19261	4111		
seed-19264	6777	238	134	104	2.498	seed-19264	13440		
seed-19427	6050	353	199	154	5.235	seed-19427	9435		
seed-19429	2836	241	145	96	11.806	seed-19429	2907		
seed-19621	4657	143	91	52	2.348	seed-19621	8817		
seed-19643	5121	173	91	82	2.614	seed-19643	9092		
seed-19924	2973	98	18	80	4.792	seed-19924	3005		
seed-20039	3254	1260	874	386	54.381	seed-20039	3290		
seed-20135	5949	685	67	618	17.227	seed-20135	5949		
